car_ID,symboling,aspiration,carbody,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,carclass,brandavg
2,3,std,convertible,1,88.6,168.8,64.1,48.8,2548,dohc,9,130,mpfi,3.47,2.68,9.0,111,5000,21,27,16500.0,2.0,16500.0
4,2,std,sedan,0,99.8,176.6,66.2,54.3,2337,ohc,9,109,mpfi,3.19,3.4,10.0,102,5500,24,30,13950.0,3.0,17710.0
5,2,std,sedan,0,99.4,176.6,66.4,54.3,2824,ohc,19,136,mpfi,3.19,3.4,8.0,115,5500,18,22,17450.0,3.0,17710.0
6,2,std,sedan,0,99.8,177.3,66.3,53.1,2507,ohc,19,136,mpfi,3.19,3.4,8.5,110,5500,19,25,15250.0,3.0,17710.0
7,1,std,sedan,0,105.8,192.7,71.4,55.7,2844,ohc,19,136,mpfi,3.19,3.4,8.5,110,5500,19,25,17710.0,3.0,17710.0
8,1,std,wagon,0,105.8,192.7,71.4,55.7,2954,ohc,19,136,mpfi,3.19,3.4,8.5,110,5500,19,25,18920.0,3.0,17710.0
9,1,turbo,sedan,0,105.8,192.7,71.4,55.9,3086,ohc,19,131,mpfi,3.13,3.4,8.3,140,5500,17,20,23875.0,3.0,17710.0
10,0,turbo,hatchback,0,99.5,178.2,67.9,52.0,3053,ohc,19,131,mpfi,3.13,3.4,7.0,160,5500,16,22,17859.167,3.0,17710.0
12,0,std,sedan,1,101.2,176.8,64.8,54.3,2395,ohc,9,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16925.0,3.0,27662.5
14,0,std,sedan,1,101.2,176.8,64.8,54.3,2765,ohc,21,164,mpfi,3.31,3.19,9.0,121,4250,21,28,21105.0,3.0,27662.5
15,1,std,sedan,1,103.5,189.0,66.9,55.7,3055,ohc,21,164,mpfi,3.31,3.19,9.0,121,4250,20,25,24565.0,3.0,27662.5
16,0,std,sedan,1,103.5,189.0,66.9,55.7,3230,ohc,21,209,mpfi,3.62,3.39,8.0,182,5400,16,22,30760.0,3.0,27662.5
17,0,std,sedan,1,103.5,193.8,67.9,53.7,3380,ohc,21,209,mpfi,3.62,3.39,8.0,182,5400,16,22,41315.0,3.0,27662.5
18,0,std,sedan,1,110.0,197.0,70.9,56.3,3505,ohc,21,209,mpfi,3.62,3.39,8.0,182,5400,15,20,36880.0,3.0,27662.5
20,1,std,hatchback,0,94.5,155.9,63.6,52.0,1874,ohc,9,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6295.0,0.0,6435.0
21,0,std,sedan,0,94.5,158.8,63.6,52.0,1909,ohc,9,90,2bbl,3.03,3.11,9.6,70,5400,38,43,6575.0,0.0,6435.0
25,1,std,hatchback,0,93.7,157.3,63.8,50.6,1967,ohc,9,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229.0,1.0,8558.0
27,1,std,sedan,0,93.7,157.3,63.8,50.6,1989,ohc,9,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7609.0,1.0,8558.0
28,1,turbo,sedan,0,93.7,157.3,63.8,50.6,2191,ohc,9,98,mpfi,3.03,3.39,7.6,102,5500,24,30,8558.0,1.0,8558.0
29,-1,std,wagon,0,103.3,174.6,64.6,59.8,2535,ohc,9,122,2bbl,3.34,3.46,8.5,88,5000,24,30,8921.0,1.0,8558.0
30,3,turbo,hatchback,0,95.9,173.2,66.3,50.2,2811,ohc,9,156,mfi,3.6,3.9,7.0,145,5000,19,24,12964.0,1.0,8558.0
31,2,std,hatchback,0,86.6,144.6,63.9,50.8,1713,ohc,9,92,1bbl,2.91,3.41,9.6,58,4800,49,54,6479.0,0.0,7295.0
33,1,std,hatchback,0,93.7,150.0,64.0,52.6,1837,ohc,9,79,1bbl,2.91,3.07,10.1,60,5500,38,42,5399.0,0.0,7295.0
35,1,std,hatchback,0,93.7,150.0,64.0,52.6,1956,ohc,9,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7129.0,0.0,7295.0
36,0,std,sedan,0,96.5,163.4,64.0,54.5,2010,ohc,9,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7295.0,0.0,7295.0
37,0,std,wagon,0,96.5,157.1,63.9,58.3,2024,ohc,9,92,1bbl,2.92,3.41,9.2,76,6000,30,34,7295.0,0.0,7295.0
38,0,std,hatchback,0,96.5,167.5,65.2,53.3,2236,ohc,9,110,1bbl,3.15,3.58,9.0,86,5800,27,33,7895.0,0.0,7295.0
40,0,std,sedan,0,96.5,175.4,65.2,54.1,2304,ohc,9,110,1bbl,3.15,3.58,9.0,86,5800,27,33,8845.0,0.0,7295.0
41,0,std,sedan,0,96.5,175.4,62.5,54.1,2372,ohc,9,110,1bbl,3.15,3.58,9.0,86,5800,27,33,10295.0,0.0,7295.0
45,1,std,sedan,0,94.5,155.9,63.6,52.0,1874,ohc,9,90,2bbl,3.03,3.11,9.6,70,5400,38,43,8916.5,1.0,8916.5
46,0,std,sedan,0,94.5,155.9,63.6,52.0,1909,ohc,9,90,2bbl,3.03,3.11,9.6,70,5400,38,43,8916.5,1.0,8916.5
47,2,std,hatchback,1,96.0,172.6,65.2,51.4,2734,ohc,9,119,spfi,3.43,3.23,9.2,90,5000,24,29,11048.0,1.0,8916.5
48,0,std,sedan,1,113.0,199.6,69.6,52.8,4066,dohc,21,258,mpfi,3.63,4.17,8.1,176,4750,15,19,32250.0,3.0,35550.0
49,0,std,sedan,1,113.0,199.6,69.6,52.8,4066,dohc,21,258,mpfi,3.63,4.17,8.1,176,4750,15,19,35550.0,3.0,35550.0
50,0,std,sedan,1,102.0,191.7,70.6,47.8,3950,ohcv,36,326,mpfi,3.54,2.76,11.5,262,5000,13,17,36000.0,3.0,35550.0
51,1,std,hatchback,0,93.1,159.1,64.2,54.1,1890,ohc,9,91,2bbl,3.03,3.15,9.0,68,5000,30,31,5195.0,0.0,5645.0
52,1,std,hatchback,0,93.1,159.1,64.2,54.1,1900,ohc,9,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6095.0,0.0,5645.0
53,1,std,hatchback,0,93.1,159.1,64.2,54.1,1905,ohc,9,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6795.0,2.0,10945.0
54,1,std,sedan,0,93.1,166.8,64.2,54.1,1945,ohc,9,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6695.0,2.0,10945.0
55,1,std,sedan,0,93.1,166.8,64.2,54.1,1950,ohc,9,91,2bbl,3.08,3.15,9.0,68,5000,31,38,7395.0,2.0,10945.0
56,3,std,hatchback,1,95.3,169.0,65.7,49.6,2380,rotor,13,70,4bbl,3.33,3.255,9.4,101,6000,17,23,10945.0,2.0,10945.0
57,3,std,hatchback,1,95.3,169.0,65.7,49.6,2380,rotor,13,70,4bbl,3.33,3.255,9.4,101,6000,17,23,11845.0,2.0,10945.0
58,3,std,hatchback,1,95.3,169.0,65.7,49.6,2385,rotor,13,70,4bbl,3.33,3.255,9.4,101,6000,17,23,13645.0,2.0,10945.0
64,0,std,sedan,0,98.8,177.8,66.5,55.5,2443,ohc,9,122,idi,3.39,3.39,22.7,64,4650,36,42,10795.0,2.0,10945.0
65,0,std,hatchback,0,98.8,177.8,66.5,55.5,2425,ohc,9,122,2bbl,3.39,3.39,8.6,84,4800,26,32,11245.0,2.0,10945.0
67,0,std,sedan,1,104.9,175.0,66.1,54.4,2700,ohc,9,134,idi,3.43,3.64,22.0,72,4200,31,39,18344.0,2.0,10945.0
68,-1,turbo,sedan,1,110.0,190.9,70.3,56.5,3515,ohc,19,183,idi,3.58,3.64,21.5,123,4350,22,25,25552.0,3.0,32892.0
69,-1,turbo,wagon,1,110.0,190.9,70.3,58.7,3750,ohc,19,183,idi,3.58,3.64,21.5,123,4350,22,25,28248.0,3.0,32892.0
71,-1,turbo,sedan,1,115.6,202.6,71.7,56.3,3770,ohc,19,183,idi,3.58,3.64,21.5,123,4350,22,25,31600.0,3.0,32892.0
72,-1,std,sedan,1,115.6,202.6,71.7,56.5,3740,ohcv,35,234,mpfi,3.46,3.1,8.3,155,4750,16,18,34184.0,3.0,32892.0
73,3,std,convertible,1,96.6,180.3,70.5,50.8,3685,ohcv,35,234,mpfi,3.46,3.1,8.3,155,4750,16,18,35056.0,3.0,32892.0
75,1,std,hardtop,1,112.0,199.2,72.0,55.4,3715,ohcv,35,304,mpfi,3.8,3.35,8.0,184,4500,14,16,45400.0,3.0,32892.0
76,1,turbo,hatchback,1,102.7,178.4,68.0,54.8,2910,ohc,9,140,mpfi,3.78,3.12,8.0,175,5000,19,24,16503.0,3.0,16503.0
77,2,std,hatchback,0,93.7,157.3,64.4,50.8,1918,ohc,9,92,2bbl,2.97,3.23,9.4,68,5500,37,41,5389.0,1.0,8499.0
79,2,std,hatchback,0,93.7,157.3,64.4,50.8,2004,ohc,9,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6669.0,1.0,8499.0
80,1,turbo,hatchback,0,93.0,157.3,63.8,50.8,2145,ohc,9,98,spdi,3.03,3.39,7.6,102,5500,24,30,7689.0,1.0,8499.0
81,3,turbo,hatchback,0,96.3,173.0,65.4,49.4,2370,ohc,9,110,spdi,3.17,3.46,7.5,116,5500,23,30,9959.0,1.0,8499.0
82,3,std,hatchback,0,96.3,173.0,65.4,49.4,2328,ohc,9,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8499.0,1.0,8499.0
84,3,turbo,hatchback,0,95.9,173.2,66.3,50.2,2921,ohc,9,156,spdi,3.59,3.86,7.0,145,5000,19,24,14869.0,1.0,8499.0
87,1,std,sedan,0,96.3,172.4,65.4,51.6,2405,ohc,9,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8189.0,1.0,8499.0
88,1,turbo,sedan,0,96.3,172.4,65.4,51.6,2403,ohc,9,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279.0,1.0,8499.0
89,-1,std,sedan,0,96.3,172.4,65.4,51.6,2403,ohc,9,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279.0,1.0,8499.0
90,1,std,sedan,0,94.5,165.3,63.8,54.5,1889,ohc,9,97,2bbl,3.15,3.29,9.4,69,5200,31,37,5499.0,0.0,5499.0
91,1,std,sedan,0,94.5,165.3,63.8,54.5,2017,ohc,9,103,idi,2.99,3.47,21.9,55,4800,45,50,7099.0,0.0,7999.0
92,1,std,sedan,0,94.5,165.3,63.8,54.5,1918,ohc,9,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6649.0,0.0,7999.0
93,1,std,sedan,0,94.5,165.3,63.8,54.5,1938,ohc,9,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6849.0,0.0,7999.0
94,1,std,wagon,0,94.5,170.2,63.8,53.5,2024,ohc,9,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7349.0,0.0,7999.0
95,1,std,sedan,0,94.5,165.3,63.8,54.5,1951,ohc,9,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7299.0,0.0,7999.0
96,1,std,hatchback,0,94.5,165.6,63.8,53.3,2028,ohc,9,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7799.0,0.0,7999.0
97,1,std,sedan,0,94.5,165.3,63.8,54.5,1971,ohc,9,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7499.0,0.0,7999.0
98,1,std,wagon,0,94.5,170.2,63.8,53.5,2037,ohc,9,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7999.0,0.0,7999.0
99,2,std,hardtop,0,95.1,162.4,63.8,53.3,2008,ohc,9,97,2bbl,3.15,3.29,9.4,69,5200,31,37,8249.0,0.0,7999.0
100,0,std,hatchback,0,97.2,173.4,65.2,54.7,2324,ohc,9,120,2bbl,3.33,3.47,8.5,97,5200,27,34,8949.0,0.0,7999.0
101,0,std,sedan,0,97.2,173.4,65.2,54.7,2302,ohc,9,120,2bbl,3.33,3.47,8.5,97,5200,27,34,9549.0,0.0,7999.0
102,0,std,sedan,0,100.4,181.7,66.5,55.1,3095,ohcv,21,181,mpfi,3.43,3.27,9.0,152,5200,17,22,13499.0,0.0,7999.0
103,0,std,wagon,0,100.4,184.6,66.5,56.1,3296,ohcv,21,181,mpfi,3.43,3.27,9.0,152,5200,17,22,14399.0,0.0,7999.0
105,3,std,hatchback,1,91.3,170.7,67.9,49.7,3071,ohcv,21,181,mpfi,3.43,3.27,9.0,160,5200,19,25,17199.0,0.0,7999.0
106,3,turbo,hatchback,1,91.3,170.7,67.9,49.7,3139,ohcv,21,181,mpfi,3.43,3.27,7.8,200,5200,17,23,19699.0,0.0,7999.0
108,0,std,sedan,1,107.9,186.7,68.4,56.7,3020,l,9,120,mpfi,3.46,3.19,8.4,97,5000,19,24,11900.0,2.0,16137.5
109,0,turbo,sedan,1,107.9,186.7,68.4,56.7,3197,l,9,152,idi,3.7,3.52,21.0,95,4150,28,33,13200.0,2.0,16137.5
110,0,std,wagon,1,114.2,198.9,68.4,58.7,3230,l,9,120,mpfi,3.46,3.19,8.4,97,5000,19,24,12440.0,2.0,16137.5
112,0,std,sedan,1,107.9,186.7,68.4,56.7,3075,l,9,120,mpfi,3.46,2.19,8.4,95,5000,19,24,15580.0,2.0,16137.5
113,0,turbo,sedan,1,107.9,186.7,68.4,56.7,3252,l,9,152,idi,3.7,3.52,21.0,95,4150,28,33,16900.0,2.0,16137.5
114,0,std,wagon,1,114.2,198.9,68.4,56.7,3285,l,9,120,mpfi,3.46,2.19,8.4,95,5000,19,24,16695.0,2.0,16137.5
115,0,turbo,wagon,1,114.2,198.9,68.4,58.7,3485,l,9,152,idi,3.7,3.52,21.0,95,4150,25,25,17075.0,2.0,16137.5
117,0,turbo,sedan,1,107.9,186.7,68.4,56.7,3252,l,9,152,idi,3.7,3.52,21.0,95,4150,28,33,17950.0,2.0,16137.5
119,1,std,hatchback,0,93.7,157.3,63.8,50.8,1918,ohc,9,90,2bbl,2.97,3.23,9.4,68,5500,37,41,5572.0,0.0,6919.0
121,1,std,hatchback,0,93.7,157.3,63.8,50.6,1967,ohc,9,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229.0,0.0,6919.0
123,1,std,sedan,0,93.7,167.3,63.8,50.8,2191,ohc,9,98,2bbl,2.97,3.23,9.4,68,5500,31,38,7609.0,0.0,6919.0
125,3,turbo,hatchback,1,95.9,173.2,66.3,50.2,2818,ohc,9,156,spdi,3.59,3.86,7.0,145,5000,19,24,12764.0,0.0,6919.0
126,3,std,hatchback,1,94.5,168.9,68.3,50.2,2778,ohc,9,151,mpfi,3.94,3.11,9.5,143,5500,19,27,22018.0,3.0,31964.25
131,0,std,wagon,0,96.1,181.5,66.5,55.2,2579,ohc,9,132,mpfi,3.46,3.9,8.7,90,5100,23,31,9295.0,1.0,9295.0
133,3,std,hatchback,0,99.1,186.6,66.5,56.1,2658,ohc,9,121,mpfi,3.54,3.07,9.31,110,5250,21,28,11850.0,2.0,15040.0
134,2,std,sedan,0,99.1,186.6,66.5,56.1,2695,ohc,9,121,mpfi,3.54,3.07,9.3,110,5250,21,28,12170.0,2.0,15040.0
135,3,std,hatchback,0,99.1,186.6,66.5,56.1,2707,ohc,9,121,mpfi,2.54,2.07,9.3,110,5250,21,28,15040.0,2.0,15040.0
136,2,std,sedan,0,99.1,186.6,66.5,56.1,2758,ohc,9,121,mpfi,3.54,3.07,9.3,110,5250,21,28,15510.0,2.0,15040.0
138,2,turbo,sedan,0,99.1,186.6,66.5,56.1,2847,dohc,9,121,mpfi,3.54,3.07,9.0,160,5500,19,26,18620.0,2.0,15040.0
140,2,std,hatchback,0,93.7,157.9,63.6,53.7,2120,ohcf,9,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7053.0,2.0,9960.0
142,0,std,sedan,0,97.2,172.0,65.4,52.5,2145,ohcf,9,108,2bbl,3.62,2.64,9.5,82,4800,32,37,7126.0,2.0,9960.0
144,0,std,sedan,0,97.2,172.0,65.4,52.5,2340,ohcf,9,108,mpfi,3.62,2.64,9.0,94,5200,26,32,9960.0,2.0,9960.0
146,0,turbo,sedan,0,97.0,172.0,65.4,54.3,2510,ohcf,9,108,mpfi,3.62,2.64,7.7,111,4800,24,29,11259.0,2.0,9960.0
148,0,std,wagon,0,97.0,173.5,65.4,53.0,2455,ohcf,9,108,mpfi,3.62,2.64,9.0,94,5200,25,31,10198.0,2.0,9960.0
149,0,std,wagon,0,96.9,173.6,65.4,54.9,2420,ohcf,9,108,2bbl,3.62,2.64,9.0,82,4800,23,29,8013.0,2.0,9960.0
150,0,turbo,wagon,0,96.9,173.6,65.4,54.9,2650,ohcf,9,108,mpfi,3.62,2.64,7.7,111,4800,23,23,11694.0,2.0,9960.0
151,1,std,hatchback,0,95.7,158.7,63.6,54.5,1985,ohc,9,92,2bbl,3.05,3.03,9.0,62,4800,35,39,5348.0,1.0,9258.0
154,0,std,wagon,0,95.7,169.7,63.6,59.1,2280,ohc,9,92,2bbl,3.05,3.03,9.0,62,4800,31,37,6918.0,1.0,9258.0
155,0,std,wagon,0,95.7,169.7,63.6,59.1,2290,ohc,9,92,2bbl,3.05,3.03,9.0,62,4800,27,32,7898.0,1.0,9258.0
156,0,std,wagon,0,95.7,169.7,63.6,59.1,3110,ohc,9,92,2bbl,3.05,3.03,9.0,62,4800,27,32,8778.0,1.0,9258.0
158,0,std,hatchback,0,95.7,166.3,64.4,52.8,2109,ohc,9,98,2bbl,3.19,3.03,9.0,70,4800,30,37,7198.0,1.0,9258.0
161,0,std,sedan,0,95.7,166.3,64.4,53.0,2094,ohc,9,98,2bbl,3.19,3.03,9.0,70,4800,38,47,7738.0,1.0,9258.0
162,0,std,hatchback,0,95.7,166.3,64.4,52.8,2122,ohc,9,98,2bbl,3.19,3.03,9.0,70,4800,28,34,8358.0,1.0,9258.0
163,0,std,sedan,0,95.7,166.3,64.4,52.8,2140,ohc,9,98,2bbl,3.19,3.03,9.0,70,4800,28,34,9258.0,1.0,9258.0
164,1,std,sedan,1,94.5,168.7,64.0,52.6,2169,ohc,9,98,2bbl,3.19,3.03,9.0,70,4800,29,34,8058.0,1.0,9258.0
165,1,std,hatchback,1,94.5,168.7,64.0,52.6,2204,ohc,9,98,2bbl,3.19,3.03,9.0,70,4800,29,34,8238.0,1.0,9258.0
166,1,std,sedan,1,94.5,168.7,64.0,52.6,2265,dohc,9,98,mpfi,3.24,3.08,9.4,112,6600,26,29,9298.0,1.0,9258.0
169,2,std,hardtop,1,98.4,176.2,65.6,52.0,2536,ohc,9,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9639.0,1.0,9258.0
170,2,std,hatchback,1,98.4,176.2,65.6,52.0,2551,ohc,9,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9989.0,1.0,9258.0
172,2,std,hatchback,1,98.4,176.2,65.6,52.0,2714,ohc,9,146,mpfi,3.62,3.5,9.3,116,4800,24,30,11549.0,1.0,9258.0
173,2,std,convertible,1,98.4,176.2,65.6,53.0,2975,ohc,9,146,mpfi,3.62,3.5,9.3,116,4800,24,30,17669.0,1.0,9258.0
175,-1,turbo,sedan,0,102.4,175.6,66.5,54.9,2480,ohc,9,110,idi,3.27,3.35,22.5,73,4500,30,33,10698.0,1.0,9258.0
178,-1,std,hatchback,0,102.4,175.6,66.5,53.9,2458,ohc,9,122,mpfi,3.31,3.54,8.7,92,4200,27,32,11248.0,1.0,9258.0
179,3,std,hatchback,1,102.9,183.5,67.7,52.0,2976,dohc,21,171,mpfi,3.27,3.35,9.3,161,5200,20,24,16558.0,1.0,9258.0
181,-1,std,sedan,1,104.5,187.8,66.5,54.1,3131,dohc,21,171,mpfi,3.27,3.35,9.2,156,5200,20,24,15690.0,1.0,9258.0
182,-1,std,wagon,1,104.5,187.8,66.5,54.1,3151,dohc,21,161,mpfi,3.27,3.35,9.2,156,5200,19,24,15750.0,2.0,15750.0
183,2,std,sedan,0,97.3,171.7,65.5,55.7,2261,ohc,9,97,idi,3.01,3.4,23.0,52,4800,37,46,7775.0,0.0,7775.0
184,2,std,sedan,0,97.3,171.7,65.5,55.7,2209,ohc,9,109,mpfi,3.19,3.4,9.0,85,5250,27,34,7975.0,1.0,9495.0
186,2,std,sedan,0,97.3,171.7,65.5,55.7,2212,ohc,9,109,mpfi,3.19,3.4,9.0,85,5250,27,34,8195.0,1.0,9495.0
187,2,std,sedan,0,97.3,171.7,65.5,55.7,2275,ohc,9,109,mpfi,3.19,3.4,9.0,85,5250,27,34,8495.0,1.0,9495.0
188,2,turbo,sedan,0,97.3,171.7,65.5,55.7,2319,ohc,9,97,idi,3.01,3.4,23.0,68,4500,37,42,9495.0,1.0,9495.0
189,2,std,sedan,0,97.3,171.7,65.5,55.7,2300,ohc,9,109,mpfi,3.19,3.4,10.0,100,5500,26,32,9995.0,1.0,9495.0
191,3,std,hatchback,0,94.5,165.7,64.0,51.4,2221,ohc,9,109,mpfi,3.19,3.4,8.5,90,5500,24,29,9980.0,2.0,9980.0
192,0,std,sedan,0,100.4,180.2,66.9,55.1,2661,ohc,19,136,mpfi,3.19,3.4,8.5,110,5500,19,24,13295.0,1.0,9495.0
193,0,turbo,sedan,0,100.4,180.2,66.9,55.1,2579,ohc,9,97,idi,3.01,3.4,23.0,68,4500,33,38,13845.0,1.0,9495.0
195,-2,std,sedan,1,104.3,188.8,67.2,56.2,2912,ohc,9,141,mpfi,3.78,3.15,9.5,114,5400,23,28,12940.0,3.0,18420.0
198,-1,std,wagon,1,104.3,188.8,67.2,57.5,3042,ohc,9,141,mpfi,3.78,3.15,9.5,114,5400,24,28,16515.0,3.0,18420.0
199,-2,turbo,sedan,1,104.3,188.8,67.2,56.2,3045,ohc,9,130,mpfi,3.62,3.15,7.5,162,5100,17,22,18420.0,3.0,18420.0
200,-1,turbo,wagon,1,104.3,188.8,67.2,57.5,3157,ohc,9,130,mpfi,3.62,3.15,7.5,162,5100,17,22,18950.0,3.0,18420.0
201,-1,std,sedan,1,109.1,188.8,68.9,55.5,2952,ohc,9,141,mpfi,3.78,3.15,9.5,114,5400,23,28,16845.0,3.0,18420.0
202,-1,turbo,sedan,1,109.1,188.8,68.8,55.5,3049,ohc,9,141,mpfi,3.78,3.15,8.7,160,5300,19,25,19045.0,3.0,18420.0
204,-1,turbo,sedan,1,109.1,188.8,68.9,55.5,3217,ohc,21,145,idi,3.01,3.4,23.0,106,4800,26,27,22470.0,3.0,18420.0
