car_ID,symboling,aspiration_std,carbody,drivewheel_fwd,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
1,3,1,4,0,88.6,168.8,64.1,48.8,2548,3,2,130,5,3.47,2.68,9.0,111,5000,21,27,13495.0
2,3,1,4,0,88.6,168.8,64.1,48.8,2548,3,2,130,5,3.47,2.68,9.0,111,5000,21,27,16500.0
3,1,1,1,0,94.5,171.2,65.5,52.4,2823,4,5,152,5,2.68,3.47,9.0,154,5000,19,26,16500.0
4,2,1,3,1,99.8,176.6,66.2,54.3,2337,1,2,109,5,3.19,3.4,10.0,102,5500,24,30,13950.0
5,2,1,3,1,99.4,176.6,66.4,54.3,2824,1,4,136,5,3.19,3.4,8.0,115,5500,18,22,17450.0
6,2,1,3,1,99.8,177.3,66.3,53.1,2507,1,4,136,5,3.19,3.4,8.5,110,5500,19,25,15250.0
7,1,1,3,1,105.8,192.7,71.4,55.7,2844,1,4,136,5,3.19,3.4,8.5,110,5500,19,25,17710.0
8,1,1,2,1,105.8,192.7,71.4,55.7,2954,1,4,136,5,3.19,3.4,8.5,110,5500,19,25,18920.0
9,1,0,3,1,105.8,192.7,71.4,55.9,3086,1,4,131,5,3.13,3.4,8.3,140,5500,17,20,23875.0
10,0,0,1,1,99.5,178.2,67.9,52.0,3053,1,4,131,5,3.13,3.4,7.0,160,5500,16,22,17859.167
11,2,1,3,0,101.2,176.8,64.8,54.3,2395,1,2,108,5,3.5,2.8,8.8,101,5800,23,29,16430.0
12,0,1,3,0,101.2,176.8,64.8,54.3,2395,1,2,108,5,3.5,2.8,8.8,101,5800,23,29,16925.0
13,0,1,3,0,101.2,176.8,64.8,54.3,2710,1,5,164,5,3.31,3.19,9.0,121,4250,21,28,20970.0
14,0,1,3,0,101.2,176.8,64.8,54.3,2765,1,5,164,5,3.31,3.19,9.0,121,4250,21,28,21105.0
15,1,1,3,0,103.5,189.0,66.9,55.7,3055,1,5,164,5,3.31,3.19,9.0,121,4250,20,25,24565.0
16,0,1,3,0,103.5,189.0,66.9,55.7,3230,1,5,209,5,3.62,3.39,8.0,182,5400,16,22,30760.0
17,0,1,3,0,103.5,193.8,67.9,53.7,3380,1,5,209,5,3.62,3.39,8.0,182,5400,16,22,41315.0
18,0,1,3,0,110.0,197.0,70.9,56.3,3505,1,5,209,5,3.62,3.39,8.0,182,5400,15,20,36880.0
19,2,1,1,1,88.4,141.1,60.3,53.2,1488,3,1,61,1,2.91,3.03,9.5,48,5100,47,53,5151.0
20,1,1,1,1,94.5,155.9,63.6,52.0,1874,1,2,90,1,3.03,3.11,9.6,70,5400,38,43,6295.0
21,0,1,3,1,94.5,158.8,63.6,52.0,1909,1,2,90,1,3.03,3.11,9.6,70,5400,38,43,6575.0
22,1,1,1,1,93.7,157.3,63.8,50.8,1876,1,2,90,1,2.97,3.23,9.41,68,5500,37,41,5572.0
23,1,1,1,1,93.7,157.3,63.8,50.8,1876,1,2,90,1,2.97,3.23,9.4,68,5500,31,38,6377.0
24,1,0,1,1,93.7,157.3,63.8,50.8,2128,1,2,98,5,3.03,3.39,7.6,102,5500,24,30,7957.0
25,1,1,1,1,93.7,157.3,63.8,50.6,1967,1,2,90,1,2.97,3.23,9.4,68,5500,31,38,6229.0
26,1,1,3,1,93.7,157.3,63.8,50.6,1989,1,2,90,1,2.97,3.23,9.4,68,5500,31,38,6692.0
27,1,1,3,1,93.7,157.3,63.8,50.6,1989,1,2,90,1,2.97,3.23,9.4,68,5500,31,38,7609.0
28,1,0,3,1,93.7,157.3,63.8,50.6,2191,1,2,98,5,3.03,3.39,7.6,102,5500,24,30,8558.0
29,-1,1,2,1,103.3,174.6,64.6,59.8,2535,1,2,122,1,3.34,3.46,8.5,88,5000,24,30,8921.0
30,3,0,1,1,95.9,173.2,66.3,50.2,2811,1,2,156,3,3.6,3.9,7.0,145,5000,19,24,12964.0
31,2,1,1,1,86.6,144.6,63.9,50.8,1713,1,2,92,1,2.91,3.41,9.6,58,4800,49,54,6479.0
32,2,1,1,1,86.6,144.6,63.9,50.8,1819,1,2,92,1,2.91,3.41,9.2,76,6000,31,38,6855.0
33,1,1,1,1,93.7,150.0,64.0,52.6,1837,1,2,79,1,2.91,3.07,10.1,60,5500,38,42,5399.0
34,1,1,1,1,93.7,150.0,64.0,52.6,1940,1,2,92,1,2.91,3.41,9.2,76,6000,30,34,6529.0
35,1,1,1,1,93.7,150.0,64.0,52.6,1956,1,2,92,1,2.91,3.41,9.2,76,6000,30,34,7129.0
36,0,1,3,1,96.5,163.4,64.0,54.5,2010,1,2,92,1,2.91,3.41,9.2,76,6000,30,34,7295.0
37,0,1,2,1,96.5,157.1,63.9,58.3,2024,1,2,92,1,2.92,3.41,9.2,76,6000,30,34,7295.0
38,0,1,1,1,96.5,167.5,65.2,53.3,2236,1,2,110,1,3.15,3.58,9.0,86,5800,27,33,7895.0
39,0,1,1,1,96.5,167.5,65.2,53.3,2289,1,2,110,1,3.15,3.58,9.0,86,5800,27,33,9095.0
40,0,1,3,1,96.5,175.4,65.2,54.1,2304,1,2,110,1,3.15,3.58,9.0,86,5800,27,33,8845.0
41,0,1,3,1,96.5,175.4,62.5,54.1,2372,1,2,110,1,3.15,3.58,9.0,86,5800,27,33,10295.0
42,0,1,3,1,96.5,175.4,65.2,54.1,2465,1,2,110,5,3.15,3.58,9.0,101,5800,24,28,12945.0
43,1,1,3,1,96.5,169.1,66.0,51.0,2293,1,2,110,1,3.15,3.58,9.1,100,5500,25,31,10345.0
44,0,1,3,0,94.3,170.7,61.8,53.5,2337,1,2,111,1,3.31,3.23,8.5,78,4800,24,29,6785.0
45,1,1,3,1,94.5,155.9,63.6,52.0,1874,1,2,90,1,3.03,3.11,9.6,70,5400,38,43,8916.5
46,0,1,3,1,94.5,155.9,63.6,52.0,1909,1,2,90,1,3.03,3.11,9.6,70,5400,38,43,8916.5
47,2,1,1,0,96.0,172.6,65.2,51.4,2734,1,2,119,2,3.43,3.23,9.2,90,5000,24,29,11048.0
48,0,1,3,0,113.0,199.6,69.6,52.8,4066,3,5,258,5,3.63,4.17,8.1,176,4750,15,19,32250.0
49,0,1,3,0,113.0,199.6,69.6,52.8,4066,3,5,258,5,3.63,4.17,8.1,176,4750,15,19,35550.0
50,0,1,3,0,102.0,191.7,70.6,47.8,3950,4,7,326,5,3.54,2.76,11.5,262,5000,13,17,36000.0
51,1,1,1,1,93.1,159.1,64.2,54.1,1890,1,2,91,1,3.03,3.15,9.0,68,5000,30,31,5195.0
52,1,1,1,1,93.1,159.1,64.2,54.1,1900,1,2,91,1,3.03,3.15,9.0,68,5000,31,38,6095.0
53,1,1,1,1,93.1,159.1,64.2,54.1,1905,1,2,91,1,3.03,3.15,9.0,68,5000,31,38,6795.0
54,1,1,3,1,93.1,166.8,64.2,54.1,1945,1,2,91,1,3.03,3.15,9.0,68,5000,31,38,6695.0
55,1,1,3,1,93.1,166.8,64.2,54.1,1950,1,2,91,1,3.08,3.15,9.0,68,5000,31,38,7395.0
56,3,1,1,0,95.3,169.0,65.7,49.6,2380,2,3,70,3,3.33,3.255,9.4,101,6000,17,23,10945.0
57,3,1,1,0,95.3,169.0,65.7,49.6,2380,2,3,70,3,3.33,3.255,9.4,101,6000,17,23,11845.0
58,3,1,1,0,95.3,169.0,65.7,49.6,2385,2,3,70,3,3.33,3.255,9.4,101,6000,17,23,13645.0
59,3,1,1,0,95.3,169.0,65.7,49.6,2500,2,3,80,5,3.33,3.255,9.4,135,6000,16,23,15645.0
60,1,1,1,1,98.8,177.8,66.5,53.7,2385,1,2,122,1,3.39,3.39,8.6,84,4800,26,32,8845.0
61,0,1,3,1,98.8,177.8,66.5,55.5,2410,1,2,122,1,3.39,3.39,8.6,84,4800,26,32,8495.0
62,1,1,1,1,98.8,177.8,66.5,53.7,2385,1,2,122,1,3.39,3.39,8.6,84,4800,26,32,10595.0
63,0,1,3,1,98.8,177.8,66.5,55.5,2410,1,2,122,1,3.39,3.39,8.6,84,4800,26,32,10245.0
64,0,1,3,1,98.8,177.8,66.5,55.5,2443,1,2,122,4,3.39,3.39,22.7,64,4650,36,42,10795.0
65,0,1,1,1,98.8,177.8,66.5,55.5,2425,1,2,122,1,3.39,3.39,8.6,84,4800,26,32,11245.0
66,0,1,3,0,104.9,175.0,66.1,54.4,2670,1,2,140,5,3.76,3.16,8.0,120,5000,19,27,18280.0
67,0,1,3,0,104.9,175.0,66.1,54.4,2700,1,2,134,4,3.43,3.64,22.0,72,4200,31,39,18344.0
68,-1,0,3,0,110.0,190.9,70.3,56.5,3515,1,4,183,4,3.58,3.64,21.5,123,4350,22,25,25552.0
69,-1,0,2,0,110.0,190.9,70.3,58.7,3750,1,4,183,4,3.58,3.64,21.5,123,4350,22,25,28248.0
70,0,0,5,0,106.7,187.5,70.3,54.9,3495,1,4,183,4,3.58,3.64,21.5,123,4350,22,25,28176.0
71,-1,0,3,0,115.6,202.6,71.7,56.3,3770,1,4,183,4,3.58,3.64,21.5,123,4350,22,25,31600.0
72,-1,1,3,0,115.6,202.6,71.7,56.5,3740,4,6,234,5,3.46,3.1,8.3,155,4750,16,18,34184.0
73,3,1,4,0,96.6,180.3,70.5,50.8,3685,4,6,234,5,3.46,3.1,8.3,155,4750,16,18,35056.0
74,0,1,3,0,120.9,208.1,71.7,56.7,3900,4,6,308,5,3.8,3.35,8.0,184,4500,14,16,40960.0
75,1,1,5,0,112.0,199.2,72.0,55.4,3715,4,6,304,5,3.8,3.35,8.0,184,4500,14,16,45400.0
76,1,0,1,0,102.7,178.4,68.0,54.8,2910,1,2,140,5,3.78,3.12,8.0,175,5000,19,24,16503.0
77,2,1,1,1,93.7,157.3,64.4,50.8,1918,1,2,92,1,2.97,3.23,9.4,68,5500,37,41,5389.0
78,2,1,1,1,93.7,157.3,64.4,50.8,1944,1,2,92,1,2.97,3.23,9.4,68,5500,31,38,6189.0
79,2,1,1,1,93.7,157.3,64.4,50.8,2004,1,2,92,1,2.97,3.23,9.4,68,5500,31,38,6669.0
80,1,0,1,1,93.0,157.3,63.8,50.8,2145,1,2,98,2,3.03,3.39,7.6,102,5500,24,30,7689.0
81,3,0,1,1,96.3,173.0,65.4,49.4,2370,1,2,110,2,3.17,3.46,7.5,116,5500,23,30,9959.0
82,3,1,1,1,96.3,173.0,65.4,49.4,2328,1,2,122,1,3.35,3.46,8.5,88,5000,25,32,8499.0
83,3,0,1,1,95.9,173.2,66.3,50.2,2833,1,2,156,2,3.58,3.86,7.0,145,5000,19,24,12629.0
84,3,0,1,1,95.9,173.2,66.3,50.2,2921,1,2,156,2,3.59,3.86,7.0,145,5000,19,24,14869.0
85,3,0,1,1,95.9,173.2,66.3,50.2,2926,1,2,156,2,3.59,3.86,7.0,145,5000,19,24,14489.0
86,1,1,3,1,96.3,172.4,65.4,51.6,2365,1,2,122,1,3.35,3.46,8.5,88,5000,25,32,6989.0
87,1,1,3,1,96.3,172.4,65.4,51.6,2405,1,2,122,1,3.35,3.46,8.5,88,5000,25,32,8189.0
88,1,0,3,1,96.3,172.4,65.4,51.6,2403,1,2,110,2,3.17,3.46,7.5,116,5500,23,30,9279.0
89,-1,1,3,1,96.3,172.4,65.4,51.6,2403,1,2,110,2,3.17,3.46,7.5,116,5500,23,30,9279.0
90,1,1,3,1,94.5,165.3,63.8,54.5,1889,1,2,97,1,3.15,3.29,9.4,69,5200,31,37,5499.0
91,1,1,3,1,94.5,165.3,63.8,54.5,2017,1,2,103,4,2.99,3.47,21.9,55,4800,45,50,7099.0
92,1,1,3,1,94.5,165.3,63.8,54.5,1918,1,2,97,1,3.15,3.29,9.4,69,5200,31,37,6649.0
93,1,1,3,1,94.5,165.3,63.8,54.5,1938,1,2,97,1,3.15,3.29,9.4,69,5200,31,37,6849.0
94,1,1,2,1,94.5,170.2,63.8,53.5,2024,1,2,97,1,3.15,3.29,9.4,69,5200,31,37,7349.0
95,1,1,3,1,94.5,165.3,63.8,54.5,1951,1,2,97,1,3.15,3.29,9.4,69,5200,31,37,7299.0
96,1,1,1,1,94.5,165.6,63.8,53.3,2028,1,2,97,1,3.15,3.29,9.4,69,5200,31,37,7799.0
97,1,1,3,1,94.5,165.3,63.8,54.5,1971,1,2,97,1,3.15,3.29,9.4,69,5200,31,37,7499.0
98,1,1,2,1,94.5,170.2,63.8,53.5,2037,1,2,97,1,3.15,3.29,9.4,69,5200,31,37,7999.0
99,2,1,5,1,95.1,162.4,63.8,53.3,2008,1,2,97,1,3.15,3.29,9.4,69,5200,31,37,8249.0
100,0,1,1,1,97.2,173.4,65.2,54.7,2324,1,2,120,1,3.33,3.47,8.5,97,5200,27,34,8949.0
101,0,1,3,1,97.2,173.4,65.2,54.7,2302,1,2,120,1,3.33,3.47,8.5,97,5200,27,34,9549.0
102,0,1,3,1,100.4,181.7,66.5,55.1,3095,4,5,181,5,3.43,3.27,9.0,152,5200,17,22,13499.0
103,0,1,2,1,100.4,184.6,66.5,56.1,3296,4,5,181,5,3.43,3.27,9.0,152,5200,17,22,14399.0
104,0,1,3,1,100.4,184.6,66.5,55.1,3060,4,5,181,5,3.43,3.27,9.0,152,5200,19,25,13499.0
105,3,1,1,0,91.3,170.7,67.9,49.7,3071,4,5,181,5,3.43,3.27,9.0,160,5200,19,25,17199.0
106,3,0,1,0,91.3,170.7,67.9,49.7,3139,4,5,181,5,3.43,3.27,7.8,200,5200,17,23,19699.0
107,1,1,1,0,99.2,178.5,67.9,49.7,3139,4,5,181,5,3.43,3.27,9.0,160,5200,19,25,18399.0
108,0,1,3,0,107.9,186.7,68.4,56.7,3020,3,2,120,5,3.46,3.19,8.4,97,5000,19,24,11900.0
109,0,0,3,0,107.9,186.7,68.4,56.7,3197,3,2,152,4,3.7,3.52,21.0,95,4150,28,33,13200.0
110,0,1,2,0,114.2,198.9,68.4,58.7,3230,3,2,120,5,3.46,3.19,8.4,97,5000,19,24,12440.0
111,0,0,2,0,114.2,198.9,68.4,58.7,3430,3,2,152,4,3.7,3.52,21.0,95,4150,25,25,13860.0
112,0,1,3,0,107.9,186.7,68.4,56.7,3075,3,2,120,5,3.46,2.19,8.4,95,5000,19,24,15580.0
113,0,0,3,0,107.9,186.7,68.4,56.7,3252,3,2,152,4,3.7,3.52,21.0,95,4150,28,33,16900.0
114,0,1,2,0,114.2,198.9,68.4,56.7,3285,3,2,120,5,3.46,2.19,8.4,95,5000,19,24,16695.0
115,0,0,2,0,114.2,198.9,68.4,58.7,3485,3,2,152,4,3.7,3.52,21.0,95,4150,25,25,17075.0
116,0,1,3,0,107.9,186.7,68.4,56.7,3075,3,2,120,5,3.46,3.19,8.4,97,5000,19,24,16630.0
117,0,0,3,0,107.9,186.7,68.4,56.7,3252,3,2,152,4,3.7,3.52,21.0,95,4150,28,33,17950.0
118,0,0,3,0,108.0,186.7,68.3,56.0,3130,3,2,134,5,3.61,3.21,7.0,142,5600,18,24,18150.0
119,1,1,1,1,93.7,157.3,63.8,50.8,1918,1,2,90,1,2.97,3.23,9.4,68,5500,37,41,5572.0
120,1,0,1,1,93.7,157.3,63.8,50.8,2128,1,2,98,2,3.03,3.39,7.6,102,5500,24,30,7957.0
121,1,1,1,1,93.7,157.3,63.8,50.6,1967,1,2,90,1,2.97,3.23,9.4,68,5500,31,38,6229.0
122,1,1,3,1,93.7,167.3,63.8,50.8,1989,1,2,90,1,2.97,3.23,9.4,68,5500,31,38,6692.0
123,1,1,3,1,93.7,167.3,63.8,50.8,2191,1,2,98,1,2.97,3.23,9.4,68,5500,31,38,7609.0
124,-1,1,2,1,103.3,174.6,64.6,59.8,2535,1,2,122,1,3.35,3.46,8.5,88,5000,24,30,8921.0
125,3,0,1,0,95.9,173.2,66.3,50.2,2818,1,2,156,2,3.59,3.86,7.0,145,5000,19,24,12764.0
126,3,1,1,0,94.5,168.9,68.3,50.2,2778,1,2,151,5,3.94,3.11,9.5,143,5500,19,27,22018.0
130,1,1,1,0,98.4,175.7,72.3,50.5,3366,7,6,203,5,3.94,3.11,10.0,288,5750,17,28,31400.5
131,0,1,2,1,96.1,181.5,66.5,55.2,2579,1,2,132,5,3.46,3.9,8.7,90,5100,23,31,9295.0
132,2,1,1,1,96.1,176.8,66.6,50.5,2460,1,2,132,5,3.46,3.9,8.7,90,5100,23,31,9895.0
133,3,1,1,1,99.1,186.6,66.5,56.1,2658,1,2,121,5,3.54,3.07,9.31,110,5250,21,28,11850.0
134,2,1,3,1,99.1,186.6,66.5,56.1,2695,1,2,121,5,3.54,3.07,9.3,110,5250,21,28,12170.0
135,3,1,1,1,99.1,186.6,66.5,56.1,2707,1,2,121,5,2.54,2.07,9.3,110,5250,21,28,15040.0
136,2,1,3,1,99.1,186.6,66.5,56.1,2758,1,2,121,5,3.54,3.07,9.3,110,5250,21,28,15510.0
137,3,0,1,1,99.1,186.6,66.5,56.1,2808,3,2,121,5,3.54,3.07,9.0,160,5500,19,26,18150.0
138,2,0,3,1,99.1,186.6,66.5,56.1,2847,3,2,121,5,3.54,3.07,9.0,160,5500,19,26,18620.0
139,2,1,1,1,93.7,156.9,63.4,53.7,2050,1,2,97,1,3.62,2.36,9.0,69,4900,31,36,5118.0
140,2,1,1,1,93.7,157.9,63.6,53.7,2120,1,2,108,1,3.62,2.64,8.7,73,4400,26,31,7053.0
141,2,1,1,1,93.3,157.3,63.8,55.7,2240,1,2,108,1,3.62,2.64,8.7,73,4400,26,31,7603.0
142,0,1,3,1,97.2,172.0,65.4,52.5,2145,1,2,108,1,3.62,2.64,9.5,82,4800,32,37,7126.0
143,0,1,3,1,97.2,172.0,65.4,52.5,2190,1,2,108,1,3.62,2.64,9.5,82,4400,28,33,7775.0
144,0,1,3,1,97.2,172.0,65.4,52.5,2340,1,2,108,5,3.62,2.64,9.0,94,5200,26,32,9960.0
145,0,1,3,1,97.0,172.0,65.4,54.3,2385,1,2,108,1,3.62,2.64,9.0,82,4800,24,25,9233.0
146,0,0,3,1,97.0,172.0,65.4,54.3,2510,1,2,108,5,3.62,2.64,7.7,111,4800,24,29,11259.0
147,0,1,2,1,97.0,173.5,65.4,53.0,2290,1,2,108,1,3.62,2.64,9.0,82,4800,28,32,7463.0
148,0,1,2,1,97.0,173.5,65.4,53.0,2455,1,2,108,5,3.62,2.64,9.0,94,5200,25,31,10198.0
149,0,1,2,1,96.9,173.6,65.4,54.9,2420,1,2,108,1,3.62,2.64,9.0,82,4800,23,29,8013.0
150,0,0,2,1,96.9,173.6,65.4,54.9,2650,1,2,108,5,3.62,2.64,7.7,111,4800,23,23,11694.0
151,1,1,1,1,95.7,158.7,63.6,54.5,1985,1,2,92,1,3.05,3.03,9.0,62,4800,35,39,5348.0
152,1,1,1,1,95.7,158.7,63.6,54.5,2040,1,2,92,1,3.05,3.03,9.0,62,4800,31,38,6338.0
153,1,1,1,1,95.7,158.7,63.6,54.5,2015,1,2,92,1,3.05,3.03,9.0,62,4800,31,38,6488.0
154,0,1,2,1,95.7,169.7,63.6,59.1,2280,1,2,92,1,3.05,3.03,9.0,62,4800,31,37,6918.0
155,0,1,2,1,95.7,169.7,63.6,59.1,2290,1,2,92,1,3.05,3.03,9.0,62,4800,27,32,7898.0
156,0,1,2,1,95.7,169.7,63.6,59.1,3110,1,2,92,1,3.05,3.03,9.0,62,4800,27,32,8778.0
157,0,1,3,1,95.7,166.3,64.4,53.0,2081,1,2,98,1,3.19,3.03,9.0,70,4800,30,37,6938.0
158,0,1,1,1,95.7,166.3,64.4,52.8,2109,1,2,98,1,3.19,3.03,9.0,70,4800,30,37,7198.0
159,0,1,3,1,95.7,166.3,64.4,53.0,2275,1,2,110,4,3.27,3.35,22.5,56,4500,34,36,7898.0
160,0,1,1,1,95.7,166.3,64.4,52.8,2275,1,2,110,4,3.27,3.35,22.5,56,4500,38,47,7788.0
161,0,1,3,1,95.7,166.3,64.4,53.0,2094,1,2,98,1,3.19,3.03,9.0,70,4800,38,47,7738.0
162,0,1,1,1,95.7,166.3,64.4,52.8,2122,1,2,98,1,3.19,3.03,9.0,70,4800,28,34,8358.0
163,0,1,3,1,95.7,166.3,64.4,52.8,2140,1,2,98,1,3.19,3.03,9.0,70,4800,28,34,9258.0
164,1,1,3,0,94.5,168.7,64.0,52.6,2169,1,2,98,1,3.19,3.03,9.0,70,4800,29,34,8058.0
165,1,1,1,0,94.5,168.7,64.0,52.6,2204,1,2,98,1,3.19,3.03,9.0,70,4800,29,34,8238.0
166,1,1,3,0,94.5,168.7,64.0,52.6,2265,3,2,98,5,3.24,3.08,9.4,112,6600,26,29,9298.0
167,1,1,1,0,94.5,168.7,64.0,52.6,2300,3,2,98,5,3.24,3.08,9.4,112,6600,26,29,9538.0
168,2,1,5,0,98.4,176.2,65.6,52.0,2540,1,2,146,5,3.62,3.5,9.3,116,4800,24,30,8449.0
169,2,1,5,0,98.4,176.2,65.6,52.0,2536,1,2,146,5,3.62,3.5,9.3,116,4800,24,30,9639.0
170,2,1,1,0,98.4,176.2,65.6,52.0,2551,1,2,146,5,3.62,3.5,9.3,116,4800,24,30,9989.0
171,2,1,5,0,98.4,176.2,65.6,52.0,2679,1,2,146,5,3.62,3.5,9.3,116,4800,24,30,11199.0
172,2,1,1,0,98.4,176.2,65.6,52.0,2714,1,2,146,5,3.62,3.5,9.3,116,4800,24,30,11549.0
173,2,1,4,0,98.4,176.2,65.6,53.0,2975,1,2,146,5,3.62,3.5,9.3,116,4800,24,30,17669.0
174,-1,1,3,1,102.4,175.6,66.5,54.9,2326,1,2,122,5,3.31,3.54,8.7,92,4200,29,34,8948.0
175,-1,0,3,1,102.4,175.6,66.5,54.9,2480,1,2,110,4,3.27,3.35,22.5,73,4500,30,33,10698.0
176,-1,1,1,1,102.4,175.6,66.5,53.9,2414,1,2,122,5,3.31,3.54,8.7,92,4200,27,32,9988.0
177,-1,1,3,1,102.4,175.6,66.5,54.9,2414,1,2,122,5,3.31,3.54,8.7,92,4200,27,32,10898.0
178,-1,1,1,1,102.4,175.6,66.5,53.9,2458,1,2,122,5,3.31,3.54,8.7,92,4200,27,32,11248.0
179,3,1,1,0,102.9,183.5,67.7,52.0,2976,3,5,171,5,3.27,3.35,9.3,161,5200,20,24,16558.0
180,3,1,1,0,102.9,183.5,67.7,52.0,3016,3,5,171,5,3.27,3.35,9.3,161,5200,19,24,15998.0
181,-1,1,3,0,104.5,187.8,66.5,54.1,3131,3,5,171,5,3.27,3.35,9.2,156,5200,20,24,15690.0
182,-1,1,2,0,104.5,187.8,66.5,54.1,3151,3,5,161,5,3.27,3.35,9.2,156,5200,19,24,15750.0
183,2,1,3,1,97.3,171.7,65.5,55.7,2261,1,2,97,4,3.01,3.4,23.0,52,4800,37,46,7775.0
184,2,1,3,1,97.3,171.7,65.5,55.7,2209,1,2,109,5,3.19,3.4,9.0,85,5250,27,34,7975.0
185,2,1,3,1,97.3,171.7,65.5,55.7,2264,1,2,97,4,3.01,3.4,23.0,52,4800,37,46,7995.0
186,2,1,3,1,97.3,171.7,65.5,55.7,2212,1,2,109,5,3.19,3.4,9.0,85,5250,27,34,8195.0
187,2,1,3,1,97.3,171.7,65.5,55.7,2275,1,2,109,5,3.19,3.4,9.0,85,5250,27,34,8495.0
188,2,0,3,1,97.3,171.7,65.5,55.7,2319,1,2,97,4,3.01,3.4,23.0,68,4500,37,42,9495.0
189,2,1,3,1,97.3,171.7,65.5,55.7,2300,1,2,109,5,3.19,3.4,10.0,100,5500,26,32,9995.0
190,3,1,4,1,94.5,159.3,64.2,55.6,2254,1,2,109,5,3.19,3.4,8.5,90,5500,24,29,11595.0
191,3,1,1,1,94.5,165.7,64.0,51.4,2221,1,2,109,5,3.19,3.4,8.5,90,5500,24,29,9980.0
192,0,1,3,1,100.4,180.2,66.9,55.1,2661,1,4,136,5,3.19,3.4,8.5,110,5500,19,24,13295.0
193,0,0,3,1,100.4,180.2,66.9,55.1,2579,1,2,97,4,3.01,3.4,23.0,68,4500,33,38,13845.0
194,0,1,2,1,100.4,183.1,66.9,55.1,2563,1,2,109,5,3.19,3.4,9.0,88,5500,25,31,12290.0
195,-2,1,3,0,104.3,188.8,67.2,56.2,2912,1,2,141,5,3.78,3.15,9.5,114,5400,23,28,12940.0
196,-1,1,2,0,104.3,188.8,67.2,57.5,3034,1,2,141,5,3.78,3.15,9.5,114,5400,23,28,13415.0
197,-2,1,3,0,104.3,188.8,67.2,56.2,2935,1,2,141,5,3.78,3.15,9.5,114,5400,24,28,15985.0
198,-1,1,2,0,104.3,188.8,67.2,57.5,3042,1,2,141,5,3.78,3.15,9.5,114,5400,24,28,16515.0
199,-2,0,3,0,104.3,188.8,67.2,56.2,3045,1,2,130,5,3.62,3.15,7.5,162,5100,17,22,18420.0
200,-1,0,2,0,104.3,188.8,67.2,57.5,3157,1,2,130,5,3.62,3.15,7.5,162,5100,17,22,18950.0
201,-1,1,3,0,109.1,188.8,68.9,55.5,2952,1,2,141,5,3.78,3.15,9.5,114,5400,23,28,16845.0
202,-1,0,3,0,109.1,188.8,68.8,55.5,3049,1,2,141,5,3.78,3.15,8.7,160,5300,19,25,19045.0
203,-1,1,3,0,109.1,188.8,68.9,55.5,3012,4,5,173,5,3.58,2.87,8.8,134,5500,18,23,21485.0
204,-1,0,3,0,109.1,188.8,68.9,55.5,3217,1,5,145,4,3.01,3.4,23.0,106,4800,26,27,22470.0
205,-1,0,3,0,109.1,188.8,68.9,55.5,3062,1,2,141,5,3.78,3.15,9.5,114,5400,19,25,22625.0
