car_ID,symboling,aspiration,carbody,drivewheel,enginetype,cylindernumber,fuelsystem,boreratio,stroke,compressionratio,price,carvolume,enginepower,averagempg
76,1,turbo,hatchback,1,ohc,2,mpfi,3.78,3.12,8.0,16503.0,664789.76,14259.0,20.96551724137931
41,0,std,sedan,0,ohc,2,1bbl,3.15,3.58,9.0,10295.0,593071.25,3868.8137931034485,29.405940594059402
116,0,std,sedan,1,l,2,mpfi,3.46,3.19,8.4,16630.0,724074.876,7158.6,20.96551724137931
66,0,std,sedan,1,ohc,2,mpfi,3.76,3.16,8.0,18280.0,629271.9999999999,8971.2,21.923076923076923
158,0,std,hatchback,0,ohc,2,2bbl,3.19,3.03,9.0,7198.0,565473.216,3014.1125,32.7917282127031
154,0,std,wagon,0,ohc,2,2bbl,3.05,3.03,9.0,6918.0,637861.572,2709.4,33.440233236151606
6,2,std,sedan,0,ohc,5,mpfi,3.19,3.4,8.5,15250.0,624189.969,6819.04,21.30044843049327
5,2,std,sedan,0,ohc,5,mpfi,3.19,3.4,8.0,17450.0,636734.8319999999,8030.4290909090905,19.603960396039604
79,2,std,hatchback,0,ohc,2,2bbl,2.97,3.23,9.4,6669.0,514610.096,2279.458909090909,33.80200860832138
201,-1,std,sedan,1,ohc,2,mpfi,3.78,3.15,9.5,16845.0,721961.7600000001,8787.12,25.009708737864077
165,1,std,hatchback,1,ohc,2,2bbl,3.19,3.03,9.0,8238.0,567911.6799999999,3149.883333333333,31.055118110236215
86,1,std,sedan,0,ohc,2,2bbl,3.35,3.46,8.5,6989.0,581787.9360000001,5078.128,27.72963604852686
100,0,std,hatchback,0,ohc,2,2bbl,3.33,3.47,8.5,8949.0,618420.696,5202.184615384615,29.756888168557534
115,0,turbo,wagon,1,l,2,idi,3.7,3.52,21.0,17075.0,798599.4120000001,12126.12048192771,24.999999999999996
163,0,std,sedan,0,ohc,2,2bbl,3.19,3.03,9.0,9258.0,565473.216,3058.4166666666665,30.415335463258785
47,2,std,hatchback,1,ohc,2,spfi,3.43,3.23,9.2,11048.0,578430.928,5856.228,26.018691588785043
83,3,turbo,hatchback,0,ohc,2,spdi,3.58,3.86,7.0,12629.0,576454.632,12816.492,20.96551724137931
24,1,turbo,hatchback,0,ohc,2,mpfi,3.03,3.39,7.6,7957.0,509815.59199999995,3867.543272727273,26.373626373626372
12,0,std,sedan,1,ohc,2,mpfi,3.5,2.8,8.8,16925.0,622095.5519999999,4504.251724137931,25.36121673003802
194,0,std,wagon,0,ohc,2,mpfi,3.19,3.4,9.0,12290.0,674941.3890000001,4469.872,27.385159010600706
153,1,std,hatchback,0,ohc,2,2bbl,3.05,3.03,9.0,6488.0,550085.94,2394.491666666667,33.80200860832138
106,3,turbo,hatchback,1,ohcv,6,mpfi,3.43,3.27,7.8,19699.0,576049.341,21852.26923076923,19.261083743842363
75,1,std,hardtop,1,ohcv,8,mpfi,3.8,3.35,8.0,45400.0,794568.96,46178.275555555556,14.834437086092713
98,1,std,wagon,0,ohc,2,2bbl,3.15,3.29,9.4,7999.0,580943.6599999999,2621.8540384615385,33.440233236151606
67,0,std,sedan,1,ohc,2,idi,3.43,3.64,22.0,18344.0,629271.9999999999,6202.285714285715,34.152542372881356
127,3,std,hardtop,1,ohcf,6,mpfi,3.74,2.9,9.5,32528.0,566490.6,18758.550508474575,19.859813084112147
52,1,std,hatchback,0,ohc,2,2bbl,3.03,3.15,9.0,6095.0,552589.302,2351.44,33.80200860832138
178,-1,std,hatchback,0,ohc,2,mpfi,3.31,3.54,8.7,11248.0,629411.86,6568.712380952381,29.04201680672269
171,2,std,hardtop,1,ohc,2,mpfi,3.62,3.5,9.3,11199.0,601053.4399999998,9452.405,26.373626373626372
93,1,std,sedan,0,ohc,2,2bbl,3.15,3.29,9.4,6849.0,574764.63,2494.4296153846153,33.440233236151606
84,3,turbo,hatchback,0,ohc,2,spdi,3.59,3.86,7.0,14869.0,576454.632,13214.604,20.96551724137931
172,2,std,hatchback,1,ohc,2,mpfi,3.62,3.5,9.3,11549.0,601053.4399999998,9575.896666666667,26.373626373626372
38,0,std,hatchback,0,ohc,2,1bbl,3.15,3.58,9.0,7895.0,582089.2999999999,3646.993103448276,29.405940594059402
123,1,std,sedan,0,ohc,2,2bbl,2.97,3.23,9.4,7609.0,542225.992,2654.695272727273,33.80200860832138
156,0,std,wagon,0,ohc,2,2bbl,3.05,3.03,9.0,8778.0,637861.572,3695.7166666666667,29.04201680672269
174,-1,std,sedan,0,ohc,2,mpfi,3.31,3.54,8.7,8948.0,641089.26,6215.958095238096,31.055118110236215
162,0,std,hatchback,0,ohc,2,2bbl,3.19,3.03,9.0,8358.0,565473.216,3032.6916666666666,30.415335463258785
139,2,std,hatchback,0,ohcf,2,2bbl,3.62,2.36,9.0,5118.0,534178.6020000001,2800.1326530612246,33.06666666666666
130,1,std,hatchback,1,dohcv,8,mpfi,3.94,3.11,10.0,31400.5,641507.0549999999,34224.317217391304,20.650759219088933
99,2,std,hardtop,0,ohc,2,2bbl,3.15,3.29,9.4,8249.0,552247.696,2584.527692307692,33.440233236151606
150,0,turbo,wagon,0,ohcf,2,mpfi,3.62,2.64,7.7,11694.0,623303.856,6618.375,23.0
32,2,std,hatchback,0,ohc,2,1bbl,2.91,3.41,9.2,6855.0,469388.95199999993,2119.7413333333334,33.80200860832138
136,2,std,sedan,0,ohc,2,mpfi,3.54,3.07,9.3,15510.0,696139.29,6992.1866666666665,23.661971830985912
61,0,std,sedan,0,ohc,2,2bbl,3.39,3.39,8.6,8495.0,656215.3500000001,5145.35,28.395904436860068
122,1,std,sedan,0,ohc,2,2bbl,2.97,3.23,9.4,6692.0,542225.992,2213.2145454545453,33.80200860832138
96,1,std,hatchback,0,ohc,2,2bbl,3.15,3.29,9.4,7799.0,563129.4239999999,2610.27,33.440233236151606
78,2,std,hatchback,0,ohc,2,2bbl,2.97,3.23,9.4,6189.0,514610.096,2211.2116363636364,33.80200860832138
33,1,std,hatchback,0,ohc,2,1bbl,2.91,3.07,10.1,5399.0,504960.0,1583.16,39.701492537313435
29,-1,std,wagon,0,ohc,2,2bbl,3.34,3.46,8.5,8921.0,674493.7679999998,5443.152,26.373626373626372
34,1,std,hatchback,0,ohc,2,1bbl,2.91,3.41,9.2,6529.0,504960.0,2260.7466666666664,31.67701863354037
196,-1,std,wagon,1,ohc,2,mpfi,3.78,3.15,9.5,13415.0,729523.2000000001,9031.206666666667,25.009708737864077
57,3,std,hatchback,1,rotor,4,4bbl,3.33,3.255,9.4,11845.0,550723.68,2804.4333333333334,19.261083743842363
149,0,std,wagon,0,ohcf,2,2bbl,3.62,2.64,9.0,8013.0,623303.856,4464.9,25.36121673003802
46,0,std,sedan,0,ohc,2,2bbl,3.03,3.11,9.6,8916.5,515592.48,2227.1666666666665,40.09815950920245
22,1,std,hatchback,0,ohc,2,2bbl,2.97,3.23,9.41,5572.0,509815.59199999995,2087.4763636363637,38.69897959183673
51,1,std,hatchback,0,ohc,2,2bbl,3.03,3.15,9.0,5195.0,552589.302,2339.064,30.44189852700491
4,2,std,sedan,0,ohc,2,mpfi,3.19,3.4,10.0,13950.0,634816.956,4724.139272727272,26.373626373626372
35,1,std,hatchback,0,ohc,2,1bbl,2.91,3.41,9.2,7129.0,504960.0,2279.392,31.67701863354037
145,0,std,sedan,0,ohcf,2,2bbl,3.62,2.64,9.0,9233.0,610809.8400000001,4400.325,24.439918533604885
152,1,std,hatchback,0,ohc,2,2bbl,3.05,3.03,9.0,6338.0,550085.94,2424.2,33.80200860832138
108,0,std,sedan,1,l,2,mpfi,3.46,3.19,8.4,11900.0,724074.876,7030.56,20.96551724137931
44,0,std,sedan,1,ohc,2,2bbl,3.31,3.23,8.5,6785.0,564385.4099999999,4215.36375,26.018691588785043
107,1,std,hatchback,1,ohcv,6,mpfi,3.43,3.27,9.0,18399.0,602371.4550000001,17481.815384615384,21.30044843049327
82,3,std,hatchback,0,ohc,2,2bbl,3.35,3.46,8.5,8499.0,558921.48,4998.6816,27.72963604852686
74,0,std,sedan,1,ohcv,8,mpfi,3.8,3.35,8.0,40960.0,846007.6590000001,49115.73333333333,14.834437086092713
77,2,std,hatchback,0,ohc,2,2bbl,2.97,3.23,9.4,5389.0,514610.096,2181.637818181818,38.69897959183673
135,3,std,hatchback,0,ohc,2,mpfi,2.54,2.07,9.3,15040.0,696139.29,6862.889523809524,23.661971830985912
15,1,std,sedan,1,ohc,6,mpfi,3.31,3.19,9.0,24565.0,704276.3700000001,14264.334117647059,21.978021978021975
111,0,turbo,wagon,1,l,2,idi,3.7,3.52,21.0,13860.0,798599.4120000001,11934.746987951807,24.999999999999996
40,0,std,sedan,0,ohc,2,1bbl,3.15,3.58,9.0,8845.0,618691.9280000001,3757.903448275862,29.405940594059402
1,3,std,convertible,1,dohc,2,mpfi,3.47,2.68,9.0,13495.0,528019.904,7353.528,23.333333333333332
168,2,std,hardtop,1,ohc,2,mpfi,3.62,3.5,9.3,8449.0,601053.4399999998,8961.966666666667,26.373626373626372
188,2,turbo,sedan,0,ohc,2,idi,3.01,3.4,23.0,9495.0,626421.695,3399.1386666666667,39.094339622641506
88,1,turbo,sedan,0,ohc,2,spdi,3.17,3.46,7.5,9279.0,581787.9360000001,5574.96,25.69832402234637
186,2,std,sedan,0,ohc,2,mpfi,3.19,3.4,9.0,8195.0,626421.695,3903.653333333333,29.756888168557534
49,0,std,sedan,1,dohc,6,mpfi,3.63,4.17,8.1,35550.0,733506.0479999998,38869.248,16.569767441860463
10,0,turbo,hatchback,0,ohc,5,mpfi,3.13,3.4,7.0,17859.167,629188.56,11634.705454545454,18.238341968911918
55,1,std,sedan,0,ohc,2,2bbl,3.08,3.15,9.0,7395.0,579333.0960000001,2413.32,33.80200860832138
131,0,std,wagon,0,ohc,2,mpfi,3.46,3.9,8.7,9295.0,666250.2000000001,6007.552941176471,26.021897810218977
62,1,std,hatchback,0,ohc,2,2bbl,3.39,3.39,8.6,10595.0,634932.6900000001,5091.975,28.395904436860068
3,1,std,hatchback,1,ohcv,6,mpfi,2.68,3.47,9.0,16500.0,587592.6399999999,13216.1568,21.61925601750547
138,2,turbo,sedan,0,dohc,2,mpfi,3.54,3.07,9.0,18620.0,696139.29,10021.44,21.61925601750547
125,3,turbo,hatchback,1,ohc,2,spdi,3.59,3.86,7.0,12764.0,576454.632,12748.632,20.96551724137931
42,0,std,sedan,0,ohc,2,mpfi,3.15,3.58,9.0,12945.0,618691.9280000001,4721.75,25.64885496183206
161,0,std,sedan,0,ohc,2,2bbl,3.19,3.03,9.0,7738.0,567615.16,2992.675,41.583236321303836
205,-1,turbo,sedan,1,ohc,2,mpfi,3.78,3.15,9.5,22625.0,721961.7600000001,9114.553333333333,21.30044843049327
176,-1,std,hatchback,0,ohc,2,mpfi,3.31,3.54,8.7,9988.0,629411.86,6451.127619047619,29.04201680672269
185,2,std,sedan,0,ohc,2,idi,3.01,3.4,23.0,7995.0,626421.695,2379.0866666666666,40.57210965435042
197,-2,std,sedan,1,ohc,2,mpfi,3.78,3.15,9.5,15985.0,713029.6320000001,8736.516666666666,25.64885496183206
142,0,std,sedan,0,ohcf,2,2bbl,3.62,2.64,9.5,7126.0,590562.0,3957.525,34.07194244604316
48,0,std,sedan,1,dohc,6,mpfi,3.63,4.17,8.1,32250.0,733506.0479999998,38869.248,16.569767441860463
37,0,std,wagon,0,ohc,2,1bbl,2.92,3.41,9.2,7295.0,585255.6269999999,2358.634666666667,31.67701863354037
26,1,std,sedan,0,ohc,2,2bbl,2.97,3.23,9.4,6692.0,507808.444,2213.2145454545453,33.80200860832138
103,0,std,wagon,0,ohcv,6,mpfi,3.43,3.27,9.0,14399.0,688677.99,17438.375384615385,18.93670886075949
7,1,std,sedan,0,ohc,5,mpfi,3.19,3.4,8.5,17710.0,766364.0460000001,7735.68,21.30044843049327
170,2,std,hatchback,1,ohc,2,mpfi,3.62,3.5,9.3,9989.0,601053.4399999998,9000.778333333334,26.373626373626372
30,3,turbo,hatchback,0,ohc,2,mfi,3.6,3.9,7.0,12964.0,576454.632,12716.964,20.96551724137931
167,1,std,hatchback,1,dohc,2,mpfi,3.24,3.08,9.4,9538.0,567911.6799999999,3824.969696969697,27.269439421338156
27,1,std,sedan,0,ohc,2,2bbl,2.97,3.23,9.4,7609.0,507808.444,2213.2145454545453,33.80200860832138
69,-1,turbo,wagon,1,ohc,5,idi,3.58,3.64,21.5,28248.0,787769.849,19404.310344827587,23.25581395348837
183,2,std,sedan,0,ohc,2,idi,3.01,3.4,23.0,7775.0,626421.695,2375.9341666666664,40.57210965435042
179,3,std,hatchback,1,dohc,6,mpfi,3.27,3.35,9.3,16558.0,645993.4,15756.203076923077,21.62162162162162
59,3,std,hatchback,1,rotor,4,mpfi,3.33,3.255,9.4,15645.0,550723.68,4500.0,18.53904282115869
202,-1,turbo,sedan,1,ohc,2,mpfi,3.78,3.15,8.7,19045.0,720913.92,12978.384905660378,21.30044843049327
143,0,std,sedan,0,ohcf,2,2bbl,3.62,2.64,9.5,7775.0,590562.0,4407.872727272727,30.048780487804873
90,1,std,sedan,0,ohc,2,2bbl,3.15,3.29,9.4,5499.0,574764.63,2431.3609615384617,33.440233236151606
120,1,turbo,hatchback,0,ohc,2,spdi,3.03,3.39,7.6,7957.0,509815.59199999995,3867.543272727273,26.373626373626372
193,0,turbo,sedan,0,ohc,2,idi,3.01,3.4,23.0,13845.0,664251.4380000001,3780.240888888889,35.07692307692308
157,0,std,sedan,0,ohc,2,2bbl,3.19,3.03,9.0,6938.0,567615.16,2974.0958333333333,32.7917282127031
140,2,std,hatchback,0,ohcf,2,2bbl,3.62,2.64,8.7,7053.0,539279.028,3798.6545454545453,28.03478260869565
92,1,std,sedan,0,ohc,2,2bbl,3.15,3.29,9.4,6649.0,574764.63,2468.6873076923075,33.440233236151606
166,1,std,sedan,1,dohc,2,mpfi,3.24,3.08,9.4,9298.0,567911.6799999999,3766.7636363636366,27.269439421338156
110,0,std,wagon,1,l,2,mpfi,3.46,3.19,8.4,12440.0,798599.4120000001,7519.44,20.96551724137931
134,2,std,sedan,0,ohc,2,mpfi,3.54,3.07,9.3,12170.0,696139.29,6832.466666666666,23.661971830985912
148,0,std,wagon,0,ohcf,2,mpfi,3.62,2.64,9.0,10198.0,601385.7000000001,4792.915384615385,27.385159010600706
53,1,std,hatchback,0,ohc,2,2bbl,3.03,3.15,9.0,6795.0,552589.302,2357.628,33.80200860832138
147,0,std,wagon,0,ohcf,2,2bbl,3.62,2.64,9.0,7463.0,601385.7000000001,4225.05,29.668874172185426
117,0,turbo,sedan,1,l,2,idi,3.7,3.52,21.0,17950.0,724074.876,11315.392771084338,30.048780487804873
95,1,std,sedan,0,ohc,2,2bbl,3.15,3.29,9.4,7299.0,574764.63,2511.1621153846154,33.440233236151606
155,0,std,wagon,0,ohc,2,2bbl,3.05,3.03,9.0,7898.0,637861.572,2721.2833333333333,29.04201680672269
39,0,std,hatchback,0,ohc,2,1bbl,3.15,3.58,9.0,9095.0,582089.2999999999,3733.437931034483,29.405940594059402
102,0,std,sedan,0,ohcv,6,mpfi,3.43,3.27,9.0,13499.0,665776.0549999999,16374.930769230768,18.93670886075949
97,1,std,sedan,0,ohc,2,2bbl,3.15,3.29,9.4,7499.0,574764.63,2536.904423076923,33.440233236151606
18,0,std,sedan,1,ohc,6,mpfi,3.62,3.39,8.0,36880.0,786358.99,24689.47962962963,16.901408450704224
101,0,std,sedan,0,ohc,2,2bbl,3.33,3.47,8.5,9549.0,618420.696,5152.9384615384615,29.756888168557534
126,3,std,hatchback,1,ohc,2,mpfi,3.94,3.11,9.5,22018.0,579100.6740000001,10906.428,21.923076923076923
189,2,std,sedan,0,ohc,2,mpfi,3.19,3.4,10.0,9995.0,626421.695,4558.181818181818,28.395904436860068
8,1,std,wagon,0,ohc,5,mpfi,3.19,3.4,8.5,18920.0,766364.0460000001,8034.88,21.30044843049327
13,0,std,sedan,1,ohc,6,mpfi,3.31,3.19,9.0,20970.0,622095.5519999999,12653.468235294118,23.661971830985912
21,0,std,sedan,0,ohc,2,2bbl,3.03,3.11,9.6,6575.0,525183.36,2227.1666666666665,40.09815950920245
114,0,std,wagon,1,l,2,mpfi,3.46,2.19,8.4,16695.0,771389.8920000001,7489.8,20.96551724137931
181,-1,std,sedan,1,dohc,6,mpfi,3.27,3.35,9.2,15690.0,675638.67,16062.03,21.62162162162162
119,1,std,hatchback,0,ohc,2,2bbl,2.97,3.23,9.4,5572.0,509815.59199999995,2134.210909090909,38.69897959183673
121,1,std,hatchback,0,ohc,2,2bbl,2.97,3.23,9.4,6229.0,507808.444,2188.7345454545452,33.80200860832138
70,0,turbo,hardtop,1,ohc,5,idi,3.58,3.64,21.5,28176.0,723650.625,18084.81724137931,23.25581395348837
85,3,turbo,hatchback,0,ohc,2,spdi,3.59,3.86,7.0,14489.0,576454.632,13237.224,20.96551724137931
28,1,turbo,sedan,0,ohc,2,mpfi,3.03,3.39,7.6,8558.0,507808.444,3982.0429090909092,26.373626373626372
45,1,std,sedan,0,ohc,2,2bbl,3.03,3.11,9.6,8916.5,515592.48,2186.3333333333335,40.09815950920245
14,0,std,sedan,1,ohc,6,mpfi,3.31,3.19,9.0,21105.0,622095.5519999999,12910.27294117647,23.661971830985912
9,1,turbo,sedan,0,ohc,5,mpfi,3.13,3.4,8.3,23875.0,769115.802,10290.407272727272,18.230563002680963
36,0,std,sedan,0,ohc,2,1bbl,2.91,3.41,9.2,7295.0,569939.2000000001,2342.32,31.67701863354037
71,-1,turbo,sedan,1,ohc,5,idi,3.58,3.64,21.5,31600.0,817837.446,19507.8,23.25581395348837
31,2,std,hatchback,0,ohc,2,1bbl,2.91,3.41,9.6,6479.0,469388.95199999993,1904.285,51.130434782608695
200,-1,turbo,wagon,1,ohc,2,mpfi,3.62,3.15,7.5,18950.0,729523.2000000001,13036.552941176471,18.93670886075949
72,-1,std,sedan,1,ohcv,8,mpfi,3.46,3.1,8.3,34184.0,820742.73,28557.852631578946,16.842105263157894
94,1,std,wagon,0,ohc,2,2bbl,3.15,3.29,9.4,7349.0,580943.6599999999,2605.1215384615384,33.440233236151606
109,0,turbo,sedan,1,l,2,idi,3.7,3.52,21.0,13200.0,724074.876,11124.019277108433,30.048780487804873
81,3,turbo,hatchback,0,ohc,2,spdi,3.17,3.46,7.5,9959.0,558921.48,5498.4,25.69832402234637
164,1,std,sedan,1,ohc,2,2bbl,3.19,3.03,9.0,8058.0,567911.6799999999,3099.8625,31.055118110236215
187,2,std,sedan,0,ohc,2,mpfi,3.19,3.4,9.0,8495.0,626421.695,4014.8333333333335,29.756888168557534
191,3,std,hatchback,0,ohc,2,mpfi,3.19,3.4,8.5,9980.0,545086.72,3961.4563636363637,26.018691588785043
